"phrasal_verb","data.derivatives","data.descriptions","data.examples","data.frequency","data.synonyms","data.difficulty","data.tags"
"nut out",\N,"[""find an answer to a problem""]",\N,\N,\N,"Hard",\N
"occur to","[""occurs to"",""occurring to"",""occurred to""]","[""if a thought or idea occurs to you, you suddenly and unexpectedly start to think about it""]","[""It didn’t occur to her to ask how he’d found her."",""It suddenly occurred to her that Joe was afraid of being alone."",""The thought of giving up never occurred to me.""]",\N,\N,"Medium",\N
"offer up","[""offers up"",""offering up"",""offered up""]","[""to give thanks, praise, or prayers to God"",""to provide something that is intended to impress, please, or satisfy someone""]","[""Lord, we offer up our prayers to you."",""The friendly staff offer up a real taste of Southwest America.""]",0,\N,"Hard",\N
"open out","[""opens out"",""opening out"",""opened out""]","[""if a discussion opens out, or if you open it out, it becomes more general or it starts to include more subjects"",""if a path or passage opens out, it becomes wider at the end"",""if something opens out, or if you open it out, it opens from a folded position so that you can see its shape""]","[""He tried to open out the conversation."",""She opened the map out on the table."",""The alleyway opened out into a courtyard behind the houses."",""The buds on the trees were starting to open out."",""They were too open out here, no protection from the dangerous, lightening sky.""]",0,\N,"Medium",\N
"open up","[""opens up"",""opening up"",""opened up""]","[""if a discussion opens up, or if you open it up, it becomes more general or starts to include more subjects"",""if something opens up, or if you open it up, it opens from a folded position so that you can see its shape"",""same as open"",""to create a difference between the people or groups involved in something"",""to create a new opportunity or possibility"",""to cut into someone’s body for medical reasons"",""to make it easier to travel or do business in a country"",""to open a locked door, container, or building"",""to start shooting a gun"",""to talk more about your personal feelings and experiences""]","[""Breathing hard, listening to Titus open up the bar, curled around my lonely pillow, I remember her saying those fatal words."",""China is opening up to foreign investment."",""Donald wants to retire and open up a bookshop."",""Going freelance opens up all sorts of possibilities to you."",""He opened up on the crowd with an automatic rifle."",""He opens up the shop every morning."",""I think we need to open up the discussion and ask members of the audience for their opinions."",""It’s taken a few months, but Katy is finally starting to open up to me."",""New cinemas are starting to open up."",""New markets are opening up every day."",""Open up! This is the police!"",""She concentrated her attention on getting Richard to open up about himself."",""She opened her umbrella up at the first drops of rain."",""The building of canals opened up the interior of the country."",""The issue of Europe has opened up deep divisions within the party."",""The rose buds are beginning to open up."",""United have opened up a 6-point lead over their nearest rivals."",""What he said seemed to open up vistas, disquieting views into a landscape she did not like."",""When they opened her up they found a huge tumour."",""Which is why I asked him to try to get you to open up to me.""]",3,\N,"Easy",\N
"operate on",\N,"[""perform surgery""]",\N,\N,\N,"Medium",\N
"opt for","[""opt"",""opts"",""opting"",""opted""]","[""to make a choice or decision from a range of possibilities""]","[""After recent setbacks in the market, most people are now opting for low-risk investments."",""married couples opting to be taxed as two single persons""]",\N,\N,"Easy",\N
"opt in","[""opts in"",""opting in"",""opted in""]","[""to decide that you want to do something or be involved in something""]","[""Members are given the choice to opt in."",""The British government was reluctant to opt into such a system.""]",1,\N,"Medium",\N
"opt into","[""opt in"",""opts in"",""opting in"",""opted in""]","[""to decide that you want to do something or be involved in something""]","[""Members are given the choice to opt in."",""The British government was reluctant to opt into such a system.""]",\N,\N,"Medium",\N
"opt out","[""opts out"",""opting out"",""opted out""]","[""to decide not to take part in something or to stop taking part in it""]","[""I had asked Father Whittaker if I might opt out of taking part in the service to act as chief mourner since the old lady had no relatives."",""If you opt out before December 1st, your deposit will be refunded."",""The firm opted out of the company car scheme last year.""]",0,"[""drop out"",""leave"",""pull out"",""withdraw""]","Medium",\N
"order about","[""order around"",""orders around"",""ordering around"",""ordered around""]","[""to keep telling someone what to do as if you have authority over them, in a way that annoys people""]",\N,\N,\N,"Medium",\N
"order around","[""orders around"",""ordering around"",""ordered around""]","[""to keep telling someone what to do as if you have authority over them, in a way that annoys people""]",\N,0,\N,"Medium",\N
"order in","[""orders in"",""ordering in"",""ordered in""]","[""to order food from a restaurant and ask for it to be delivered to you""]","[""He led the horse to the pike, tethered it, then arranged the planks he'd collected in order of length."",""I ordered in pizza for dinner."",""It needed a credible threat in order to justify its massive expenditure."",""Only the Professor sought out his company, and then only in order to play chess."",""We were too tired to cook, so we ordered in.""]",5,\N,"Medium",\N
"order off","[""orders off"",""ordering off"",""ordered off""]","[""to tell a player officially to leave the sports field because they have done something that is not allowed by the rules""]","[""The referee had no option but to order him off.""]",\N,\N,"Hard",\N
"order out","[""orders out"",""ordering out"",""ordered out""]","[""to order food from a restaurant and ask for it to be delivered to you""]","[""Familiar by now with English ways, he reckoned he knew which gestures were out of order."",""Or perhaps the bell was out of order, making it necessary to leave the gate unlocked."",""We got back late and decided to order out."",""We're looking for the place where its machinery is out of order, for the key item.""]",0,\N,"Medium",\N
"order out for",\N,"[""have food delivered""]",\N,\N,\N,"Medium",\N
"order up","[""orders up"",""ordering up"",""ordered up""]","[""in a hotel, to choose food or drinks and ask for them to be delivered to your room"",""to tell someone to do something, provide something, or deliver something""]","[""I decided to order up breakfast."",""The Pentagon ordered up cruise missile attacks."",""We ordered up FBI reports on the men.""]",\N,\N,"Hard",\N
"owe to",\N,"[""be the reason for something""]",\N,\N,\N,"Medium",\N
"own up","[""owns up"",""owning up"",""owned up""]","[""to admit that you have done something bad or embarrassing""]","[""Dan could have made this whole thing go away simply by owning up."",""Two local students later owned up to the prank.""]",0,"[""admit"",""come clean"",""confess"",""tell the truth""]","Medium",\N
"pace out","[""paces out"",""pacing out"",""paced out""]","[""to measure a distance by counting the number of steps that you need to walk from one end of something to the other""]","[""I had already paced out the dimensions of my new home.""]",0,"[""determine"",""mark out"",""measure""]","Hard",\N
"pack away","[""packs away"",""packing away"",""packed away""]","[""to eat a large quantity of food"",""to put something back into the container where it is stored, after you have finished using it""]","[""She can really pack it away."",""We packed away the picnic things and started up the engine.""]",\N,\N,"Medium",\N
"pack in","[""packs in"",""packing in"",""packed in""]","[""to attract very large audiences"",""to end a sexual or romantic relationship with someone"",""to fill a period of time with a lot of activities"",""to fill something with a lot of people or things"",""to stop doing something, especially a job"",""used for telling someone to stop doing something that is annoying you""]","[""A year ago, she packed in her job to join the band."",""He filled the coffin with logs as efficiently as whoever filled Blake's pack in Benares with bricks."",""He packed in an amazing amount in such a short life."",""I’m thinking of packing him in."",""She paused to light another cigarette from a second pack in her pocket, not a cigarillo this time but menthol."",""The more people they can pack in, the more money they make."",""The play was still packing them in after several weeks."",""she asks, and I see she's shifted her stare to the pack in my hand.""]",2,"[""cram"",""fill to capacity"",""squeeze in""]","Medium",\N
"pack into","[""packs into"",""packing into"",""packed into""]","[""to fit a lot of activities into a period of time"",""to fit a lot of people or things into a place in large numbers or quantities"",""to fit into a place""]","[""At least 150,000 people packed into Manezh Square."",""For the past six weeks tens of thousands of people have packed into stadiums and arenas to be in the presence of Madonna."",""He had managed to pack six of his friends into his car."",""More than 120 people are packed into a small wood-panelled room in the roof."",""More than 35 people are packed into each cell, where they sleep on the floor."",""More than 500 people had packed into the building, and an official said that the bomb exploded seconds after the main prayer ended."",""On sunny weekends people pack into it like sardines."",""The festival offers 16 different shows, all packed into one weekend."",""There are about 45 people packed into the room with me.""]",0,\N,"Medium",\N
"pack it in",\N,"[""stop doing something (used as an imperative)""]",\N,\N,\N,"Medium",\N
"pack off","[""packs off"",""packing off"",""packed off""]","[""to send someone away somewhere suddenly""]","[""To avoid family disgrace, Frank was packed off to India.""]",0,"[""bundle out"",""dismiss"",""send away"",""send packing [informal]""]","Medium",\N
"pack out",\N,"[""fill a venue""]",\N,\N,\N,"Hard",\N
"pack up","[""packs up"",""packing up"",""packed up""]","[""if a machine or piece of equipment packs up, it stops working"",""to finish work for the day by putting work or equipment away"",""to put things into a bag, case, or box so that you can take or send them somewhere"",""to stop doing something, especially a job""]","[""And it's not going to be over until you pack up everything you took away, and I mean everything!"",""But, just as I was about to suggest we pack up and go, she reached out and put her hand on my arm."",""Do you think he’s going to pack up this job too?"",""He simply packed up his belongings and moved out on Tuesday."",""The camera had packed up."",""The last scene of the day was finally in the can and everyone could pack up and go home, albeit an hour later than usual."",""The workmen have already packed up and left.""]",2,"[""break down"",""fail"",""stall"",""stop""]","Medium",\N
"pad down",\N,"[""sleep somewhere for the night""]",\N,\N,\N,"Hard",\N
"pad out","[""pads out"",""padding out"",""padded out""]","[""to put unnecessary information into something to make it longer""]","[""Try not to pad your report out with irrelevant statistics.""]",0,"[""elaborate"",""inflate"",""lengthen"",""stretch""]","Medium",\N
"pad up","[""pads up"",""padding up"",""padded up""]","[""to put special thick soft covers on your legs in order to protect them before you start hitting the ball in the game of cricket""]",\N,\N,\N,"Hard",\N
"page down","[""pages down"",""paging down"",""paged down""]","[""to press a key on a computer that makes the next page of a document appear on the screen""]","[""I quickly paged down till I found his name.""]",\N,\N,"Medium",\N
"page through","[""pages through"",""paging through"",""paged through""]","[""to turn the pages of a book, newspaper, or magazine quickly without reading or looking at it carefully. The usual British word is leaf through""]","[""She sat in the waiting room, casually paging through glossy magazines.""]",\N,\N,"Medium",\N
"page up","[""pages up"",""paging up"",""paged up""]","[""to press a key on a computer that makes the previous page of a document appear on the screen""]","[""She then paged up to the beginning of the document again.""]",\N,\N,"Medium",\N
"pair off","[""pairs off"",""pairing off"",""paired off""]","[""to start a romantic relationship with someone, or to bring two people together because you want them to have a relationship with each other""]","[""All our friends seem to be pairing off."",""They paired me off with a gorgeous man.""]",0,\N,"Medium",\N
"pair off with",\N,"[""form a pair with someone""]",\N,\N,\N,"Medium",\N
"pair up","[""pairs up"",""pairing up"",""paired up""]","[""to form a pair, or to make two people form a pair""]","[""Two students from each class pair up to produce a short play.""]",0,\N,"Medium",\N
"pal about",\N,"[""be friendly and spend time with someone""]",\N,\N,\N,"Hard",\N
"pal around",\N,"[""be friendly and spend time with someone""]",\N,\N,\N,"Hard",\N
"pal up",\N,"[""become friends""]",\N,\N,\N,"Hard",\N
"palm off","[""palms off"",""palming off"",""palmed off""]","[""to get rid of someone or something that you do not want, by persuading someone else to take or buy them from you"",""to give someone an explanation or excuse that is not true or is not satisfactory, but which you hope they will accept""]",\N,1,"[""dismiss"",""disregard"",""fob off"",""pooh-pooh [informal]""]","Medium",\N
"pan out","[""pans out"",""panning out"",""panned out""]","[""if a situation pans out in a particular way, it develops in that way""]","[""And look at it this way, if it doesn't pan out, at least you're a skilled car seat finisher."",""I intended to publish a book, but things didn't quite pan out."",""It usually ends with her going to the DEA or FBI, threatening him with trumped-up drug charges that never pan out."",""Let’s see how things pan out before we decide."",""Tara cursed and grabbed a tissue to mop up the excess, hoping this wasn't a symbol of how the day was going to pan out.""]",1,"[""come out"",""happen"",""result"",""work out""]","Medium",\N
"paper over","[""papers over"",""papering over"",""papered over""]","[""to try to hide a problem or disagreement instead of finding a satisfactory solution to it""]","[""Fundamental problems were papered over, not resolved."",""I looked that paper over and gave it back to you decads ago.""]",0,\N,"Medium",\N
"parachute in","[""parachutes in"",""parachuting in"",""parachuted in""]","[""to suddenly put someone in a new job when people do not expect it""]","[""They had to parachute her in to tackle the crisis.""]",\N,\N,"Hard",\N
"parcel out",\N,\N,\N,\N,\N,"Hard",\N
"pare back",\N,"[""if you pare something back, you reduce the size or numbers.""]",\N,\N,\N,"Medium",\N
"pare down",\N,"[""reduce, decrease""]",\N,\N,\N,"Medium",\N
"part with","[""parts with"",""parting with"",""parted with""]","[""to give something to someone although you would prefer to keep it""]","[""Been bribed already according to O., still refuses to part with our stuff."",""I don’t want to part with any of my books.""]",0,"[""abandon"",""give up"",""sacrifice"",""yield""]","Medium",\N
"partake of","[""partakes of"",""partaking of"",""partook of"",""partaken of""]","[""to have some of a particular quality""]",\N,\N,\N,"Hard",\N
"partition off","[""partitions off"",""partitioning off"",""partitioned off""]","[""to separate an area from the rest of a room with a partition""]","[""The foreman’s office was partitioned off from the shop floor.""]",\N,\N,"Hard",\N
"partner up","[""partners up"",""partnering up"",""partnered up""]","[""to become partners, or to make people become partners""]","[""Could you all please partner up with another student before we begin the game?""]",\N,\N,"Medium",\N
"pass around","[""passes around"",""passing around"",""passed around""]","[""same as pass""]",\N,0,\N,"Medium",\N
"pass as","[""passes as"",""passing as"",""passed as""]","[""same as pass""]","[""All the way through this wilful journey, pretend knowledge is passed off as the real thing.""]",0,\N,"Medium",\N
"pass away","[""passes away"",""passing away"",""passed away""]","[""to die. This word is used to avoid saying ‘die’ when you think this might upset someone""]","[""Although research suggests most people want to die at home, four out of five people at present pass away in hospital."",""Everyone will think I've passed away."",""He did so as a tribute to his grandmother, who passed away last week."",""He passed away in his sleep at the age of eighty-four."",""He passed away last night."",""He was one of more than 400 people in the UK who passed away last year while waiting for a transplant."",""His passing away last year was a terrible tragedy."",""I think the doctors thought he would pass away peacefully at home - but he stayed with us."",""My wife passed away in November last year aged 55 after a long illness with breast cancer."",""Over the weekend, we made memory boxes of the people who had passed away."",""People who have passed away are not the only ones remembered."",""She passed away last Thursday after she took a turn for the worse."",""She was asking me about my previous girlfriend who passed away last year."",""That was when his mom called to say his dad passed away."",""Three people have passed away.""]",0,\N,"Medium",\N
"pass back",\N,"[""return""]",\N,\N,\N,"Medium",\N
"pass by","[""passes by"",""passing by"",""passed by""]","[""if something passes you by, you are not able to take advantage of the opportunities it offers"",""if something passes you by, you do not notice it"",""to go past""]","[""A car slowly passed by the front of the house."",""Did you tell me about that? Sorry, it completely passed me by."",""I was just passing by her house, so I thought I’d call in and see her."",""Sometimes I feel that life is just passing me by."",""Three buses passed by, but none of them was the right one.""]",2,\N,"Easy",\N
"pass down","[""passes down"",""passing down"",""passed down""]","[""to give knowledge or teach skills to your children or to younger people""]","[""These traditional stories have been passed down from parent to child over many generations.""]",\N,\N,"Medium",\N
"pass for","[""passes for"",""passing for"",""passed for""]","[""to be accepted, wrongly, as being a particular type of person or thing""]","[""He’s nearly forty, but he could pass for twenty-five."",""the slogans and name-calling that pass for political debate these days""]",\N,\N,"Medium",\N
"pass off","[""passes off"",""passing off"",""passed off""]","[""if an event passes off in a particular way, it happens in that way"",""same as pass"",""to make people believe that a person or thing is something else""]","[""Aaron Keller dragged the puck across the blue line and passed off to Kuji."",""And if he got the bill of sale out of your hands, he had some lesser works he was going to pass off to your lawyer as your'art investment."",""He put on an old blue suit, intending to pass himself off as a businessman."",""The protest march passed off without any serious trouble."",""The watches are fakes, but they tried to pass them off as genuine Rolexes.""]",2,"[""happen"",""occur"",""take place"",""turn out""]","Medium",\N
"pass on","[""passes on"",""passing on"",""passed on""]","[""same as pass"",""to arrange for a customer to speak to someone else who can give them the information or service that they have asked you for, because you cannot provide it for them"",""to give someone an infectious illness"",""to give someone something that someone else has given you"",""to give something such as a disease to your children through your genes"",""to make someone who is buying something from you pay for the cost of something""]","[""I took the day off work because I didn’t want to pass on my flu to everyone in the office."",""I’ll pass these clothes on to my nephew when my lads have outgrown them."",""I’ll pass you on to our claims department."",""The retailer is forced to pass these extra costs on to the customer."",""When you’ve read this message, please pass it on."",""Women can’t get this condition although they can pass it on.""]",0,\N,"Easy",\N
"pass on to",\N,"[""change topic or subject""]",\N,\N,\N,"Medium",\N
"pass out","[""passes out"",""passing out"",""passed out""]","[""to give something to each member of a group"",""to officially complete a course at a military or a police college"",""to suddenly become unconscious, for example because you are too hot""]","[""I swear to God my heart was beating so hard, I thought I was going to pass out."",""People everywhere were passing out from the heat."",""The hall was silent as the examination papers were passed out.""]",2,"[""black out [informal]"",""drop"",""faint"",""swoon [literary]""]","Medium",\N
"pass over","[""passes over"",""passing over"",""passed over""]","[""to ignore or not mention a statement or subject"",""to not give someone a better job, choosing instead someone who is younger or has less experience""]","[""Bill was upset about being passed over for the marketing job."",""I mentioned that you were unhappy with your salary, but it was passed over."",""Then there's a guy who was passed over last time, but who could be dug out of obscurity now."",""We don't die - we pass over or pass away.""]",0,"[""discount"",""ignore"",""overlook"",""pass by""]","Medium",\N
"pass round","[""passes round"",""passing round"",""passed round""]","[""to collect money from people in a group for a particular purpose"",""to give something to one person in a group, who gives it to someone else, who then gives it to someone else etc""]","[""The photos were passed round for each of them to have a look at.""]",\N,\N,"Hard",\N
"pass through","[""passes through"",""passing through"",""passed through""]","[""to go to a place for only a short period of time before continuing a journey""]",\N,\N,\N,"Medium",\N
"pass to","[""pass"",""passes"",""passing"",""passed""]","[""if a law, proposal etc passes, or passes a particular law-making body, it becomes official as the result of a vote"",""if a road, river, or stream passes through, across etc a place, its path follows that direction"",""if time or a period of time passes, it happens and comes to an end"",""if words or looks pass between people, they speak to each other or look at each other in a particular way"",""to be successful in an examination or test by achieving a satisfactory standard"",""to be unable to answer a question, especially in a test"",""to become more than a particular amount"",""to change from one state to another"",""to come to an end"",""to die"",""to give information, especially to the police or to an enemy"",""to give someone false money as payment for something"",""to go past something"",""to happen, or to be allowed to happen"",""to kick, hit, or throw the ball to another player in a sports team"",""to make a comment or give an opinion, especially in order to criticize someone or something"",""to make a law, proposal etc become official, usually by voting to accept it"",""to make something leave your body as a waste product or in a waste product"",""to move in a particular direction or to a particular place or position"",""to move something in a particular direction or to a particular place or position"",""to not play a card or not make a bid in a card game"",""to officially judge that someone has been successful in an examination or test because they have achieved a satisfactory standard"",""to overtake another vehicle that is travelling in the same direction"",""to put something into someone’s hand or into a position where they can take it"",""to spend time doing something"",""to stop being owned or controlled by one person and start being owned or controlled by another"",""used for saying that you do not know the answer to a question""]","[""At this temperature, the mixture passes from a solid to a liquid state."",""Children can be very difficult at this age. Don’t worry – it’ll soon pass."",""Could you pass me that newspaper?"",""Did you pass?"",""Hardly a day passed without a journalist calling or knocking at our door."",""He passed his hand across his forehead."",""He passed on three questions."",""He passed the camera to her so she could take a photograph."",""He was asked for his opinion but refused to pass comment."",""Her mistake seemed to have passed unnoticed."",""He’ll be in the team if he passes the fitness test today."",""I felt a sharp pain, but it soon passed."",""I think he’s passing blood in his urine."",""If the bill passes, it will fundamentally affect people’s employment rights."",""No one really knows what passed between them that day."",""Pass the salt, please."",""Saunders was a paid informer, passing information to the secret police."",""She grew less hopeful with every passing day."",""She had an amazing year before she passed."",""She passed her driving test."",""The death toll has already passed 200."",""The estate has passed from father to son for generations."",""The examiners passed only 40% of the candidates."",""The legislation finally passed the House of Lords."",""The procession slowly passed us."",""The railway line passes through Darlington, Newcastle, and Berwick."",""The signal passes through a device called a router."",""The summer holidays passed quickly, as usual."",""The three production sites will pass the 100,000 mark this quarter."",""They managed to pass a message under the doorway."",""They stopped at the crossing, waiting for the train to pass."",""This innocent remark did not, however, pass without comment."",""This is one of the worst laws ever passed."",""Time passes slowly when you’re waiting for something."",""Two large birds passed over our heads."",""Under the will, ownership of the business will pass to my daughter."",""We passed the day swimming and lying in the sun."",""We passed through the gates of the old city."",""We sometimes pass each other in the street."",""‘What is the capital of Sierra Leone?’ ‘Pass.’""]",\N,\N,"Medium",\N
"pass up","[""passes up"",""passing up"",""passed up""]","[""to not take advantage of an opportunity""]","[""I can’t believe you passed up the chance to do a parachute jump."",""Possibly the fact that they both knew she was too good for Cyberdyne to pass up.""]",2,"[""ignore"",""let slip"",""miss"",""refuse""]","Medium",\N
"pat down","[""pats down"",""patting down"",""patted down""]","[""to touch someone’s clothes in order to check whether they are carrying something such as a weapon or illegal drugs, for example at an airport""]","[""A woman was brought over to pat me down.""]",\N,\N,"Medium",\N
"patch together","[""patches together"",""patching together"",""patched together""]","[""to make something quickly and often carelessly by putting together various objects or ideas""]","[""We managed to patch together an impromptu evening’s entertainment.""]",0,\N,"Medium",\N
"patch up","[""patches up"",""patching up"",""patched up""]","[""to become friends with someone again after a disagreement"",""to give basic medical treatment to someone who is injured"",""to repair something, often quickly and not very well""]","[""\""Scout out someplace we can sleep tonight while you folks patch up the wounded as best you can."",""Apparently, they’ve since patched things up with their father."",""Isn’t it time you two patched it up?"",""The meeting was intended to patch up relations between the two sides."",""The nurses managed to patch her up temporarily."",""The road needs resurfacing, not just patching up.""]",0,"[""mend"",""operate on"",""perform surgery on"",""treat""]","Medium",\N
"pave over","[""paves over"",""paving over"",""paved over""]","[""to cover an area of ground by paving it""]","[""Many of the region’s orchards have been paved over.""]",\N,\N,"Hard",\N
"pawn off","[""pawns off"",""pawning off"",""pawned off""]","[""to persuade someone to buy or accept something that you do not want, especially something of low quality""]","[""I managed to pawn off all of the old stock.""]",\N,\N,"Medium",\N
"pawn off as","[""pawns off as"",""pawning off as"",""pawned off as""]","[""to pretend that someone or something is a person or thing that they are not in order to trick someone else""]","[""They tried to pawn him off as some sort of expert.""]",\N,\N,"Medium",\N
"pay back","[""pays back"",""paying back"",""paid back""]","[""to do something bad to someone because they have done something bad to you"",""to give someone the same amount of money that you borrowed from them""]","[""As for getting your friends to pay back loans, just be upfront."",""Borrowers can also pay back the equity loan early to increase their share in the property."",""But'for the avoidance of doubt' he has now decided to pay back enough to cover what he received in rent."",""Governments can much more easily gain consent to borrow money than they can gain consent to pay back the loans."",""He has since paid back the money."",""I don’t think we can afford to pay the full amount back now."",""I'M taking out more payday loans to pay back the ones I already have."",""If you are leasing land and labour for 15 a hectare you would pay back your original investment after two years."",""It claims most people pay back within ten days and 30 per cent before that."",""It is time they were made to pay back something in return for a better life."",""I’ll be able to pay you back next week."",""Make greedy bankers pay back money they stole and then make them work off their debts."",""Make them pay back the money and kick them out of the country."",""No students will have to pay back any loan for their education until they complete their degree."",""Now let us look at how rapidly each project pays back its initial investment."",""She knew how to pay them back for the trouble they had caused."",""She’ll pay us the rest back when she gets her wages."",""The loan will be paid back but the Government will guarantee the bonds throughout their terms."",""The money must be paid back one day, either in tax rises or spending cuts."",""The system of paying back loans makes dealing with student debt easy to manage."",""The victim pays back the money interest free when they can afford to."",""Then my friend will pay back money to his dad and his dad will pay off his mortgage."",""This was introduced as a means of giving an incentive to the banks to pay back money as soon as possible."",""This weekend he insisted the allowances he now claimed would not be used to pay back the money he owed."",""Those who could not pay back the money were to find creative ways to serve others."",""We are now pressing for that money to be paid back."",""We borrowed from the bank to improve the property, with the intention of remortgaging to pay back the loan.""]",2,"[""refund"",""repay"",""return"",""square""]","Easy","[""ESSENTIAL""]"
"pay down",\N,"[""pay a debt over time""]",\N,\N,\N,"Medium",\N
"pay for","[""pay"",""pays"",""paying"",""paid""]","[""a philosophy that the receiver of a gift, feeling grateful for a kindness, at the request of the gifter must not say thank you, instead they are to pay the kindness forward when the opportunity presents itself"",""an exclamation used to express your frustration with some service"",""if a business pays, it earns money"",""if a job pays a particular amount of money, you get that amount for doing it"",""to give a company, institution etc money that you owe them"",""to give money in order to buy something"",""to give money to someone who does a job for you"",""to give someone their salary"",""to have a good result"",""to suffer because of something that you have done""]","[""Can I pay in dollars?"",""Can I pay the bill, please?"",""Can I pay you for this?"",""Did you pay the gas bill?"",""Employees often use the phrase \""You get what you pay for\"" to justify their mistreatment of customers."",""It pays to cover the pool to keep out falling leaves."",""It was an outrage, and somebody was going to pay."",""It would pay you to get it properly checked."",""I’d like to pay with my card."",""Let me pay for dinner."",""My new job pays well."",""My only request is that you Pay It Forward when the opportunity presents itself."",""Now I’ll have to pay to get the car fixed."",""She had ruined his life and now he was going to make her pay."",""She was in a job paying over £60,000 a year."",""Some of the workers haven’t been paid for weeks."",""The message you get from the film is simple: crime doesn’t pay."",""There’s a reduction if you pay cash."",""They had made him look like a fool and now they were going to pay for it."",""We had to pay them over £100 to sort it out."",""We have a lot of hard work ahead if we’re going to make the business pay."",""We may pay dearly for our arrogance."",""We still haven’t paid them for the repairs to the roof."",""We’ll probably pay more in tax this year."",""Will you be paying by cash, cheque, or credit card?""]",\N,\N,"Easy",\N
"pay in","[""pays in"",""paying in"",""paid in""]","[""to put money into your bank account""]","[""I’d like to pay these two cheques in.""]",\N,\N,"Hard",\N
"pay into","[""pays into"",""paying into"",""paid into""]","[""to invest money in something such as an insurance policy or a pension fund so that you will receive money in the future"",""to put money into your bank account""]","[""She pays into the employees’ pension scheme."",""You can pay cash into any one of our three hundred branches.""]",\N,\N,"Hard",\N
"pay off","[""pays off"",""paying off"",""paid off""]","[""if something that you do pays off, it brings you some benefit"",""to give someone all the money that you have borrowed from them to buy something"",""to give someone money so that they will do something bad or dishonest for you"",""to give someone money so that they will not do something that will cause you problems, especially by telling people about something bad that you have done"",""to stop employing a worker and give them any money that they are owed""]","[""All those weeks of studying will pay off when you take the exam."",""And if he could not pay off his debt, they would nail him to the wall."",""And probably killed by some moron with a grudge, or a bet he couldn't pay off."",""Going to Andrew McClintock to pay off Jeff Rigghouse's gambling debts they knew was useless."",""I'm told there's still an old mortgage Harold's widow took out six years ago to pay off her husband's debts."",""Only another six months and the house will be paid off."",""Over 1,000 workers will be paid off if this factory closes."",""There were suspicions that officials had been paid off."",""They threatened to tell reporters about him unless he paid them off.""]",2,"[""bribe"",""corrupt"",""get at"",""oil [informal]""]","Easy",\N
"pay out","[""pays out"",""paying out"",""paid out""]","[""if you pay out a rope, you gradually let it become straight and long so that it is no longer wound in a series of circles"",""to provide money from an amount invested over a period of time"",""to spend or pay money, especially a lot of money""]","[""It’ll be a few years before our investments start paying out."",""Last week, they bid up the hush money we pay out to that bent inspector, an \""he closed us down in two places."",""The rope continued to pay out, then jerked up and down again."",""We’ve paid out thousands of pounds in health insurance over the years."",""You pay out a very great deal of money and wait a very long time."",""`One thousand pounds is a lot of money to pay out for a burglary.""]",2,"[""cough up [informal]"",""expend"",""lay out [informal]"",""spend""]","Medium",\N
"pay up","[""pays up"",""paying up"",""paid up""]","[""to pay money that you owe, especially when you are unwilling to pay""]","[""At any rate, there's enough doubt now so that I can tell Montagu not to pay up, which is all I care about."",""But I'm happy to pay up and go see the Macy Blake cod feminist bullshit collection before we go."",""I believe the American government has let it be known that they'll pay up to five for Khalil."",""If she didn't think she'd done something wicked, she wouldn't pay up."",""We’re waiting for the insurance company to pay up.""]",2,"[""fork out [informal]"",""make payment"",""pay"",""stump up [British , informal]""]","Medium",\N
"peal out","[""peals out"",""pealing out"",""pealed out""]","[""if a bell peals out, it makes a loud sound""]",\N,\N,\N,"Hard",\N
"peck at","[""pecks at"",""pecking at"",""pecked at""]","[""to eat only a small amount of a meal, without much interest""]","[""Debbie just pecked at her food.""]",\N,\N,"Medium",\N
"pee down","[""pees down"",""peeing down"",""peed down""]","[""if it is peeing down, a lot of rain is falling""]",\N,\N,\N,"Hard",\N
"peel away","[""peel off"",""peels off"",""peeling off"",""peeled off""]","[""to remove a tight or wet piece of clothing"",""to start moving in a different direction from the people or vehicles that you are with""]","[""One by one the aircraft started to peel off."",""The kids peeled off their wet clothes.""]",\N,\N,"Medium",\N
"peel away from",\N,"[""leave a group by moving in a different direction""]",\N,\N,\N,"Medium",\N
"peel off","[""peels off"",""peeling off"",""peeled off""]","[""to remove a tight or wet piece of clothing"",""to start moving in a different direction from the people or vehicles that you are with""]","[""Could probably buy five Porsches, peel off the two hundred thou in big bills and never miss the cash."",""He crawled into the unmade bed, then reached down to peel off his socks."",""It was their customary practice to fly at high altitude in level formation, then peel off successively in near-vertical dives."",""One by one the aircraft started to peel off."",""The kids peeled off their wet clothes."",""You peel off one layer only to find several others hidden beneath.""]",2,"[""discard"",""remove"",""strip off"",""take off""]","Medium",\N
"peel off from",\N,"[""leave a group by moving in a different direction""]",\N,\N,\N,"Medium",\N
"peel out","[""peels out"",""peeling out"",""peeled out""]","[""to suddenly make a car start moving very quickly so that it makes a lot of noise""]","[""She peeled out of the car park.""]",\N,\N,"Hard",\N
"peg away","[""pegs away"",""pegging away"",""pegged away""]","[""to keep doing something in a determined way, especially when it is boring or difficult""]","[""I don’t know how people peg away at such a dull job.""]",\N,\N,"Hard",\N
"peg back","[""pegs back"",""pegging back"",""pegged back""]","[""to control something such as prices or salaries so that they do not increase above a particular level"",""to prevent an opponent from winning in a game or competition""]","[""Government measures to peg back inflation have caused a recession."",""They took the lead early but were pegged back by an equalizer from Johnny Jameson.""]",\N,\N,"Hard",\N
"peg down",\N,"[""fasten something to the ground""]",\N,\N,\N,"Hard",\N
